INDICATOR,Indicator
WS_PPL_W-ALB,Proportion of population using at least basic drinking water services
WS_PPL_W-AVA,Proportion of population using improved drinking water sources available when needed
WS_PPL_W-I,Proportion of population using improved drinking water sources
WS_PPL_W-L,Proportion of population using limited drinking water services
WS_PPL_W-NP,Proportion of population using non-piped improved drinking water sources
WS_PPL_W-P,Proportion of population using piped drinking water sources
WS_PPL_W-PRE,Proportion of population using improved drinking water sources located on premises
WS_PPL_W-SW,Proportion of population using surface water
WS_PPL_W-UI,Proportion of population using unimproved drinking water sources
WS_SCH_H-F,Proportion of schools with handwashing facilities
WS_SCH_H-N,Proportion of schools with no hygiene service
WS_SCH_S-N,Proportion of schools with no sanitation service
WS_SCH_W-I,Proportion of schools with improved drinking water sources
WS_SCH_W-N,Proportion of schools with no drinking water service
WT_ADLS_10-17_LBR_ECON,Child labour thresholds (economic activity)
WT_ADLS_10-17_LBR_HC,Child labour thresholds (household chores)
WT_ADLS_10-17_TIME_HC,Time spent in household chores
WT_ADLS_15-19_ED_NEET,"Percentage of adolescents (aged 15-19 years) not in education, employment or training"
WT_ADLS_15-19_LAB_FRC_UNEMP,Percentage of adolescents (aged 15-19 years) in the labour force who are unemployed
